date,time,text,nearest_match,match_result,source
2024-07-07,09:01:00,"Diego Costa ??

#UEL",Tournament window,,euro2024_domain
2024-07-07,11:00:00,"Edin Deko beats the angle ????

#UEL",Tournament window,,euro2024_domain
2024-07-07,11:02:00,Dominican Republic will host a FIFA tournament for the first time when the FIFA U-17 Womens World Cup takes place in October! ??????,Tournament window,,euro2024_domain
2024-07-07,11:02:00,"The @Olympic Football Tournaments get underway in July ??

16 mens teams and 12 womens teams  including four @FIFAWWC champions  will be competing ??",Tournament window,,euro2024_domain
2024-07-07,11:02:00,"The FIFA Futsal World Cup will become the first FIFA tournament to be hosted in Central Asia, as Uzbekistan prepare to welcome 24 nations in September ????",Tournament window,,euro2024_domain
2024-07-07,11:02:00,"The FIFA U-20 Womens World Cup starts in August! ??

The 11th edition will be held in Colombia and feature 24 teams  up from 16 at previous editions.",Tournament window,,euro2024_domain
2024-07-07,11:02:00,"The year will end with the inaugural FIFA Intercontinental Cup, with the final taking place on 18 December ??",Tournament window,,euro2024_domain
2024-07-07,11:02:00,"What else is coming up for FIFA in 2024? ?????

Key events this year, a thread ??",Tournament window,,euro2024_domain
2024-07-07,13:00:00,"Khazri smash ??

#UEL",Tournament window,,euro2024_domain
2024-07-07,13:27:00,"If you placed every bet tipped in our horse racing group this week with ONLY A £3 STAKE 

You returned £105.60 profit ???

Doing the same for the whole of 2024 would have returned you £2,346.50 profit ???

sublaunch.com/lordracingtips",Tournament window,,euro2024_domain
2024-07-07,13:51:00,"BBBBOOOOOMMMMM?? ??

Having a great end to #EURO2024 

Ill be honest after the England game I took the night off and just seen our level 1 bet builder in the Netherlands vs Turkey game won!

Who else was on that?!

Lets see those slips!

18+ Gambleaware | T&C's apply Ad",Tournament window,,euro2024_domain
2024-07-07,16:00:00,"Football x Crypto: Lesson 106

It's all about hitting your target every time.

Set and hit your goals now ??",Tournament window,,euro2024_domain
2024-07-07,17:39:00,"Get £50 in free bets to use on my #EURO2024  Bet Builders!

Sign up here: tinyurl.com/50FREE-BB

Place £10 on your first bet and you will be given the free bets when the bet is settled.

18+ BeGambleAware | T&C's Apply | New Customer Offer Ad",Tournament window,,euro2024_domain
2024-07-08,02:50:00,"When you can't decide between football and trading, so you do both. #EURo2024 $BEER",Tournament window,,euro2024_domain
2024-07-08,08:00:00,"2022 ??

#HBD | #UEL",Tournament window,,euro2024_domain
2024-07-08,08:13:00,"Say hello to Taní?! ??

The official mascot of the #U17WWC Dominican Republic 2024?! ??

@FedoFutbol | #UnleashYourPassion",Tournament window,,euro2024_domain
2024-07-08,08:17:00,"Score 150 $USDT by joining the #EURO2024 community building campaign! ??

Click to claim this #TaskOn campaign -> rewards.taskon.xyz/campaign/

50 random winners will be selected. Act fast!

Rewards will be distributed on Wednesday, July 10.",Tournament window,,euro2024_domain
2024-07-08,08:53:00,"Beers $BEER token verification for @CoinMarketCap

Verification request: 947526",Tournament window,,euro2024_domain
2024-07-08,09:01:00,"Benjamin Nygren = hat-trick hero ??????

#HBD || #UECL",Tournament window,,euro2024_domain
2024-07-08,09:02:00,"Incredible from Trapp ??

#UEL",Tournament window,,euro2024_domain
2024-07-08,11:01:00,"Ciro Immobile in 2017/18... ??????

#UEL",Tournament window,,euro2024_domain
2024-07-08,11:02:00,"Saïd Benrahma ??

#UECL",Tournament window,,euro2024_domain
2024-07-08,11:14:00,"It's getting closer... ???

#U17WWC | #UnleashYourPassion",Tournament window,,euro2024_domain
2024-07-08,11:15:00,"Van Dijk ?? Mané 

An assist for the ages ??

#UCL",Tournament window,,euro2024_domain
2024-07-08,11:40:00,???? #mufc are closing in on Joshua #Zirkzee after terms with the striker and his agents commission were agreed. United are deliberating over whether to trigger his £34m release clause or negotiate a higher fee that would allow payments by instalments.,Tournament window,,euro2024_domain
2024-07-08,13:01:00,"Robbie Keane ????

#HBD | #UEL",Tournament window,,euro2024_domain
